"","GEOID","NAME","variable","estimate","moe","ACS_Year","ACS_Type","ACS_Geography","label","concept"
"1","53033","King County","B08006_013",1687,854,2019,"acs1","county","Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK"
"2","53035","Kitsap County","B08006_013",9788,2076,2019,"acs1","county","Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK"
"3","53053","Pierce County","B08006_013",118,124,2019,"acs1","county","Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK"
"4","53061","Snohomish County","B08006_013",61,106,2019,"acs1","county","Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK"
